Kind,Name,AvgCyclomatic,MaxCyclomatic,AvgCountLineCode,CountLineCode,RatioCommentToCode,CountLineComment,CountDeclClass,CountDeclMethod,CountLineCodeExe,MaxNesting
File,"Accumulator.java",0,0,0,5,5.00,25,1,0,0,0
File,"ApproximateQuantiles.java",2,5,8,426,0.53,227,6,43,203,2
File,"ApproximateQuantilesTest.java",1,3,8,295,0.11,31,6,27,140,2
File,"ApproximateUnique.java",2,5,6,218,0.81,177,5,26,96,2
File,"ApproximateUniqueTest.java",1,2,10,144,0.17,24,4,9,60,1
File,"Audience.java",0,0,0,18,1.28,23,2,3,0,0
Unknown Annotation,"AutoValue.Builder",,,,,0.00,,,,,
File,"AutoValue_AvroIO_Parse.java",2,5,8,156,0.00,0,2,17,71,2
File,"AutoValue_AvroIO_ParseAll.java",2,5,8,137,0.00,0,2,15,62,2
File,"AutoValue_AvroIO_ParseFiles.java",2,6,8,159,0.00,0,2,17,74,2
File,"AutoValue_AvroIO_Read.java",1,1,0,37,0.00,0,1,1,0,0
File,"AutoValue_AvroIO_ReadAll.java",2,5,8,150,0.00,0,2,17,69,2
File,"AutoValue_AvroIO_ReadFiles.java",1,1,0,36,0.00,0,1,1,0,0
File,"AutoValue_AvroIO_Sink.java",1,1,0,26,0.00,0,1,1,0,0
File,"AutoValue_AvroIO_TypedWrite.java",1,1,18,68,0.00,0,1,1,0,0
File,"AutoValue_BigtableIOTest_FailureOptions.java",2,6,9,138,0.00,0,2,14,68,2
File,"AutoValue_BigtableIO_Read.java",2,5,8,117,0.00,0,2,13,53,2
File,"AutoValue_BigtableIO_ReadChangeStream.java",1,1,12,44,0.00,0,1,1,0,0
File,"AutoValue_BigtableIO_Write.java",2,7,9,170,0.00,0,2,17,81,2
File,"AutoValue_DataflowRunner_EnvironmentInfo.java",2,4,9,70,0.00,0,1,7,33,1
File,"AutoValue_FileIO_Match.java",2,4,6,81,0.00,0,2,11,32,1
File,"AutoValue_FileIO_MatchAll.java",1,3,6,61,0.00,0,2,9,23,1
File,"AutoValue_FileIO_MatchConfiguration.java",1,1,0,24,0.00,0,1,1,0,0
File,"AutoValue_FileIO_ReadMatches.java",2,4,7,89,0.00,0,2,11,39,2
File,"AutoValue_FileIO_Write.java",1,1,20,74,0.00,0,1,1,0,0
File,"AutoValue_MongoDbIO_Read.java",2,9,9,269,0.00,0,2,27,126,2
File,"AutoValue_PubsubIO_Read.java",2,15,8,417,0.00,0,2,43,204,2
File,"AutoValue_PubsubIO_Write.java",2,10,8,297,0.00,0,2,31,144,2
File,"AutoValue_Schema_Field.java",2,6,8,122,0.00,0,2,14,54,2
File,"AutoValue_Schema_FieldType.java",1,1,0,34,0.00,0,1,1,0,0
File,"AutoValue_SpannerIO_CreateTransaction.java",2,4,6,81,0.00,0,2,11,32,1
File,"AutoValue_SpannerIO_Read.java",1,1,10,41,0.00,0,1,1,0,0
File,"AutoValue_SpannerIO_ReadAll.java",2,5,7,128,0.00,0,2,15,57,2
File,"AutoValue_SpannerIO_ReadChangeStream.java",1,1,10,38,0.00,0,1,1,0,0
File,"AutoValue_SpannerIO_Write.java",2,7,8,217,0.00,0,2,23,105,2
File,"AutoValue_TextIO_Read.java",2,6,8,176,0.00,0,2,19,83,2
File,"AutoValue_TextIO_ReadAll.java",2,5,8,135,0.00,0,2,15,62,2
File,"AutoValue_TextIO_ReadFiles.java",1,4,7,107,0.00,0,2,13,46,2
File,"AutoValue_TextIO_Sink.java",2,5,6,80,0.00,0,2,12,31,1
File,"AutoValue_TextIO_TypedWrite.java",1,1,23,82,0.00,0,1,1,0,0
File,"AutoValue_Window.java",1,1,8,32,0.00,0,1,1,0,0
File,"AvroIO.java",1,4,7,335,1.32,441,3,50,142,1
File,"AvroIOTest.java",1,1,6,144,0.14,20,2,5,14,0
File,"BigtableIO.java",2,14,9,1466,0.59,860,13,188,778,4
File,"BigtableIOTest.java",1,4,12,1464,0.13,193,16,120,903,2
File,"Coder.java",1,3,5,141,1.26,178,4,25,50,2
File,"CoderTest.java",1,1,8,67,0.30,20,1,6,24,0
File,"Combine.java",1,5,5,627,0.78,489,21,111,200,4
File,"CombineTest.java",1,3,10,1113,0.06,72,27,97,599,2
File,"Context.java",0,0,0,5,4.40,22,1,0,0,0
File,"Counter.java",0,0,0,8,3.50,28,1,2,0,0
File,"DataflowRunner.java",2,47,16,2098,0.13,271,34,118,1262,4
File,"DataflowRunnerTest.java",1,5,14,1746,0.05,91,23,107,1150,3
Unknown Annotation,"Default.String",,,,,0.00,,,,,
Unknown Annotation,"Deprecated",,,,,0.00,,,,,
File,"DirectRunner.java",2,7,10,294,0.27,79,6,23,155,4
File,"DirectRunnerTest.java",1,3,10,726,0.10,69,29,81,420,2
Unknown Annotation,"Element",,,,,0.00,,,,,
File,"Environment.java",0,0,0,12,3.42,41,1,3,0,0
File,"ErrorHandlingTestUtils.java",2,2,8,35,0.49,17,3,2,7,1
File,"ExpectedLogs.java",1,3,5,173,0.62,108,5,37,72,2
File,"FakeServiceFactory.java",1,1,6,78,0.28,22,1,7,31,0
File,"FileIO.java",1,9,8,941,0.54,506,27,172,438,2
File,"FileIOTest.java",1,3,16,352,0.08,28,2,14,220,2
File,"FileSystems.java",2,9,12,397,0.47,185,4,27,219,2
File,"FileSystemsTest.java",1,2,12,227,0.16,36,1,14,141,1
Unknown Annotation,"FinishBundle",,,,,0.00,,,,,
File,"Flatten.java",2,6,9,76,1.05,80,4,7,41,3
File,"FlattenTest.java",1,2,13,273,0.09,24,8,18,133,1
File,"Histogram.java",0,0,0,8,4.13,33,1,2,0,0
File,"NetworkTestHelper.java",1,1,5,10,1.90,19,1,1,2,1
Unknown Annotation,"Override",,,,,0.00,,,,,
Unknown Annotation,"Parameterized.Parameter",,,,,0.00,,,,,
Unknown Annotation,"Parameterized.Parameters",,,,,0.00,,,,,
File,"Pipeline.java",1,5,8,454,0.48,217,12,58,199,2
File,"PipelineTest.java",1,2,9,420,0.12,51,19,43,191,1
Unknown Annotation,"ProcessElement",,,,,0.00,,,,,
File,"PubsubIO.java",1,7,8,1009,0.50,509,18,156,522,3
File,"PubsubIOTest.java",1,2,13,600,0.04,24,6,32,377,2
File,"Schema.java",1,12,6,1025,0.19,191,13,181,495,3
File,"SchemaTest.java",1,1,14,469,0.07,31,2,30,325,0
Unknown Annotation,"Setup",,,,,0.00,,,,,
File,"SpannerIO.java",1,6,7,1517,0.36,552,30,231,762,4
File,"SpannerIOReadChangeStreamTest.java",1,1,21,93,0.32,30,1,3,54,0
File,"SpannerIOReadTest.java",1,2,10,207,0.09,19,1,11,104,1
File,"SpannerIOWriteTest.java",1,2,20,703,0.15,105,5,32,477,1
Unknown Annotation,"StartBundle",,,,,0.00,,,,,
Unknown Annotation,"StateId",,,,,0.00,,,,,
Unknown Annotation,"SuppressWarnings",,,,,0.00,,,,,
Unknown Annotation,"Teardown",,,,,0.00,,,,,
File,"TestCredential.java",1,1,4,31,0.58,18,1,6,5,0
File,"TextIO.java",1,13,5,792,0.63,497,14,192,314,3
File,"TextIOReadTest.java",2,6,12,695,0.14,96,11,50,393,3
File,"TextIOWriteTest.java",1,7,9,378,0.07,26,10,34,157,3
