Kind,Name,AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,AvgCyclomatic,CCViolDensityCode,CCViolDensityLine,CountCCViol,CountCCViolType,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,MaxCyclomatic,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic
File,"ApproximateQuantiles.java",11,0,8,3,2,0.00,0.00,0,0,,,,,6,9,1,45,,45,34,22,43,,2,10,0,31,,712,64,426,185,203,227,,198,276,140,160,,5,,2,,,0.53,69
File,"ApproximateQuantilesTest.java",8,0,8,0,1,0.00,0.00,0,0,,,,,6,1,5,27,,27,26,8,27,,0,4,1,22,,369,46,295,136,140,31,,137,180,110,90,,3,,2,,,0.11,37
File,"ApproximateUnique.java",10,0,6,4,2,0.00,0.00,0,0,,,,,5,7,1,27,,27,19,9,26,,3,1,0,22,,440,46,218,88,96,177,,89,135,71,71,,5,,2,,,0.81,41
File,"ApproximateUniqueTest.java",11,1,10,0,1,0.00,0.00,0,0,,,,,4,3,0,9,,9,6,7,9,,0,5,0,4,,195,27,144,74,60,24,,70,88,64,31,,2,,1,,,0.17,13
Unknown Annotation,"AutoValue.Builder",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,
File,"AutoValue_AvroIO_Parse.java",8,0,8,0,2,0.00,0.00,0,0,,,,,2,0,0,17,,17,17,11,17,,14,1,0,2,,174,18,156,61,71,0,,71,98,41,58,,5,,2,,,0.00,30
File,"AutoValue_AvroIO_ParseAll.java",8,0,8,0,2,0.00,0.00,0,0,,,,,2,0,0,15,,15,15,9,15,,12,1,0,2,,153,16,137,53,62,0,,61,86,36,51,,5,,2,,,0.00,25
File,"AutoValue_AvroIO_ParseFiles.java",8,0,8,0,2,0.00,0.00,0,0,,,,,2,0,0,17,,17,17,11,17,,14,1,0,2,,177,18,159,60,74,0,,72,100,40,61,,6,,2,,,0.00,29
File,"AutoValue_AvroIO_Read.java",0,0,0,0,1,0.00,0.00,0,0,,,,,1,0,0,1,,1,1,8,1,,0,1,0,0,,49,12,37,36,0,0,,23,16,16,0,,1,,0,,,0.00,1
File,"AutoValue_AvroIO_ReadAll.java",8,0,8,0,2,0.00,0.00,0,0,,,,,2,0,0,17,,17,17,11,17,,14,1,0,2,,168,18,150,58,69,0,,68,94,38,57,,5,,2,,,0.00,29
File,"AutoValue_AvroIO_ReadFiles.java",0,0,0,0,1,0.00,0.00,0,0,,,,,1,0,0,1,,1,1,8,1,,0,1,0,0,,48,12,36,35,0,0,,22,15,15,0,,1,,0,,,0.00,1
File,"AutoValue_AvroIO_Sink.java",0,0,0,0,1,0.00,0.00,0,0,,,,,1,0,0,1,,1,1,5,1,,0,1,0,0,,35,9,26,25,0,0,,14,10,10,0,,1,,0,,,0.00,1
File,"AutoValue_AvroIO_TypedWrite.java",18,0,18,0,1,0.00,0.00,0,0,,,,,1,0,0,1,,1,1,17,1,,0,1,0,0,,89,21,68,67,0,0,,45,29,29,0,,1,,0,,,0.00,1
File,"AutoValue_BigtableIO_Read.java",8,0,8,0,2,0.00,0.00,0,0,,,,,2,0,0,13,,13,13,6,13,,10,1,0,2,,131,14,117,43,53,0,,47,71,28,44,,5,,2,,,0.00,22
File,"AutoValue_BigtableIO_ReadChangeStream.java",12,0,12,0,1,0.00,0.00,0,0,,,,,1,0,0,1,,1,1,11,1,,0,1,0,0,,59,15,44,43,0,0,,27,17,17,0,,1,,0,,,0.00,1
File,"AutoValue_BigtableIO_Write.java",9,0,9,0,2,0.00,0.00,0,0,,,,,2,0,0,17,,17,17,10,17,,14,1,0,2,,188,18,170,60,81,0,,72,104,39,66,,7,,2,,,0.00,30
File,"AutoValue_DataflowRunner_EnvironmentInfo.java",9,0,9,0,2,0.00,0.00,0,0,,,,,1,0,0,7,,7,7,3,7,,4,0,0,3,,83,13,70,26,33,0,,28,41,16,25,,4,,1,,,0.00,12
File,"AutoValue_FileIO_Match.java",6,0,6,0,2,0.00,0.00,0,0,,,,,2,0,0,11,,11,11,4,11,,8,1,0,2,,93,12,81,35,32,0,,33,50,24,26,,4,,1,,,0.00,17
File,"AutoValue_FileIO_MatchAll.java",6,0,6,0,1,0.00,0.00,0,0,,,,,2,0,0,9,,9,9,2,9,,6,1,0,2,,71,10,61,26,23,0,,22,37,18,19,,3,,1,,,0.00,13
File,"AutoValue_FileIO_MatchConfiguration.java",0,0,0,0,1,0.00,0.00,0,0,,,,,1,0,0,1,,1,1,4,1,,0,1,0,0,,32,8,24,23,0,0,,14,11,11,0,,1,,0,,,0.00,1
File,"AutoValue_FileIO_ReadMatches.java",7,0,7,0,2,0.00,0.00,0,0,,,,,2,0,0,11,,11,11,4,11,,8,1,0,2,,101,12,89,33,39,0,,34,54,22,33,,4,,2,,,0.00,18
File,"AutoValue_FileIO_Write.java",20,0,20,0,1,0.00,0.00,0,0,,,,,1,0,0,1,,1,1,19,1,,0,1,0,0,,97,23,74,73,0,0,,49,31,31,0,,1,,0,,,0.00,1
File,"AutoValue_MongoDbIO_Read.java",9,0,9,0,2,0.00,0.00,0,0,,,,,2,0,0,27,,27,27,21,27,,24,1,0,2,,297,28,269,106,126,0,,124,164,61,104,,9,,2,,,0.00,48
File,"AutoValue_PubsubIO_Read.java",8,0,8,0,2,0.00,0.00,0,0,,,,,2,0,0,43,,43,43,37,43,,40,1,0,2,,461,44,417,157,204,0,,201,260,98,163,,15,,2,,,0.00,82
File,"AutoValue_PubsubIO_Write.java",8,0,8,0,2,0.00,0.00,0,0,,,,,2,0,0,31,,31,31,25,31,,28,1,0,2,,329,32,297,111,144,0,,139,184,70,115,,10,,2,,,0.00,58
File,"AutoValue_Schema_Field.java",8,0,8,0,2,0.00,0.00,0,0,,,,,2,0,0,14,,14,14,8,14,,2,1,0,11,,137,15,122,44,54,0,,44,69,28,42,,6,,2,,,0.00,23
File,"AutoValue_Schema_FieldType.java",0,0,0,0,1,0.00,0.00,0,0,,,,,1,0,0,1,,1,1,8,1,,0,1,0,0,,46,12,34,33,0,0,,20,13,13,0,,1,,0,,,0.00,1
File,"AutoValue_SpannerIO_CreateTransaction.java",6,0,6,0,2,0.00,0.00,0,0,,,,,2,0,0,11,,11,11,4,11,,5,1,0,5,,93,12,81,35,32,0,,33,50,24,26,,4,,1,,,0.00,17
File,"AutoValue_SpannerIO_Read.java",10,0,10,0,1,0.00,0.00,0,0,,,,,1,0,0,1,,1,1,9,1,,0,1,0,0,,54,13,41,40,0,0,,26,18,18,0,,1,,0,,,0.00,1
File,"AutoValue_SpannerIO_ReadAll.java",7,0,7,0,2,0.00,0.00,0,0,,,,,2,0,0,15,,15,15,8,15,,12,1,0,2,,144,16,128,50,57,0,,55,79,33,47,,5,,2,,,0.00,26
File,"AutoValue_SpannerIO_ReadChangeStream.java",10,0,10,0,1,0.00,0.00,0,0,,,,,1,0,0,1,,1,1,9,1,,0,1,0,0,,51,13,38,37,0,0,,23,15,15,0,,1,,0,,,0.00,1
File,"AutoValue_SpannerIO_Write.java",8,0,8,0,2,0.00,0.00,0,0,,,,,2,0,0,23,,23,23,17,23,,20,1,0,2,,241,24,217,81,105,0,,101,136,52,86,,7,,2,,,0.00,37
File,"AutoValue_TextIO_Read.java",8,0,8,0,2,0.00,0.00,0,0,,,,,2,0,0,19,,19,19,13,19,,16,1,0,2,,196,20,176,66,83,0,,79,109,42,68,,6,,2,,,0.00,32
File,"AutoValue_TextIO_ReadAll.java",8,0,8,0,2,0.00,0.00,0,0,,,,,2,0,0,15,,15,15,9,15,,12,1,0,2,,151,16,135,51,62,0,,58,83,33,51,,5,,2,,,0.00,24
File,"AutoValue_TextIO_ReadFiles.java",7,0,7,0,1,0.00,0.00,0,0,,,,,2,0,0,13,,13,13,7,13,,10,1,0,2,,121,14,107,44,46,0,,47,67,29,39,,4,,2,,,0.00,19
File,"AutoValue_TextIO_Sink.java",6,0,6,0,2,0.00,0.00,0,0,,,,,2,0,0,12,,12,12,4,12,,8,1,0,3,,93,13,80,35,31,0,,30,46,23,23,,5,,1,,,0.00,18
