Results,Entity,Line,Column,CheckID,Check Name,Ignored,Note,Severity
"Number of Results: 3336","","","","","","","",""
  "<a id=""1"">C:\Users\carenrizk\repos\soen6491Dataset\apacheSubProjectJava\src\main\java\org\apache\beam\runners\dataflow\DataflowRunner.java</a>","","","","","","","",""
    "Max Length(200) Exceeded: {'CountLine': 2630} lines.","DataflowRunner.java","0","0","RECOMMENDED_02","Files too long","","",""
    "Duplicate code found in file: C:\Users\carenrizk\repos\soen6491Dataset\apacheSubProjectJava\src\main\java\org\apache\beam\sdk\io\gcp\spanner\SpannerIO.java line: 143","DataflowRunner.java","186","0","RECOMMENDED_20","Duplicate Code","","",""
    "Duplicate code found in file: C:\Users\carenrizk\repos\soen6491Dataset\apacheSubProjectJava\src\main\java\org\apache\beam\sdk\io\gcp\spanner\SpannerIO.java line: 144","DataflowRunner.java","187","0","RECOMMENDED_20","Duplicate Code","","",""
    "Future work needed: key phrase 'todo' found","DataflowRunner.java","204","14","RECOMMENDED_19","Comments Indicating Future Fixes","","",""
    "Future work needed: key phrase 'todo' found","DataflowRunner.java","205","13","RECOMMENDED_19","Comments Indicating Future Fixes","","",""
    "Violation: getReplacementTransform defined but not called.","getReplacementTransform","509","8","RECOMMENDED_13","Unused Functions","","",""
    "Violation: mapOutputs defined but not called.","mapOutputs","516","56","RECOMMENDED_13","Unused Functions","","",""
    "Max Length(200) Exceeded: {'CountLine': 209, 'CountLineCode': 157} lines.","getOverrides","522","","RECOMMENDED_04","Functions Too Long","","",""
    "Unused Parameter","e","572","36","RECOMMENDED_18","Unused Local Variables","","",""
    "Future work needed: key phrase 'todo' found","DataflowRunner.java","674","4","RECOMMENDED_19","Comments Indicating Future Fixes","","",""
    "Violation: getReplacementTransform defined but not called.","getReplacementTransform","745","8","RECOMMENDED_13","Unused Functions","","",""
    "Violation: enterCompositeTransform defined but not called.","enterCompositeTransform","799","41","RECOMMENDED_13","Unused Functions","","",""
    "Violation: visitPrimitiveTransform defined but not called.","visitPrimitiveTransform","807","28","RECOMMENDED_13","Unused Functions","","",""
    "Violation: leaveCompositeTransform defined but not called.","leaveCompositeTransform","821","28","RECOMMENDED_13","Unused Functions","","",""
    "Violation: getReplacementTransform defined but not called.","getReplacementTransform","837","8","RECOMMENDED_13","Unused Functions","","",""
    "Violation: mapOutputs defined but not called.","mapOutputs","854","50","RECOMMENDED_13","Unused Functions","","",""
    "Violation: getReplacementTransform defined but not called.","getReplacementTransform","882","76","RECOMMENDED_13","Unused Functions","","",""
    "Duplicate code found in file: C:\Users\carenrizk\repos\soen6491Dataset\apacheSubProjectJava\src\main\java\org\apache\beam\runners\dataflow\DataflowRunner.java line: 964","DataflowRunner.java","921","0","RECOMMENDED_20","Duplicate Code","","",""
    "Duplicate code found in file: C:\Users\carenrizk\repos\soen6491Dataset\apacheSubProjectJava\src\main\java\org\apache\beam\runners\dataflow\DataflowRunner.java line: 921","DataflowRunner.java","964","0","RECOMMENDED_20","Duplicate Code","","",""
    "Duplicate code found in file: C:\Users\carenrizk\repos\soen6491Dataset\apacheSubProjectJava\src\main\java\org\apache\beam\runners\dataflow\DataflowRunner.java line: 1027","DataflowRunner.java","971","0","RECOMMENDED_20","Duplicate Code","","",""
    "Duplicate code found in file: C:\Users\carenrizk\repos\soen6491Dataset\apacheSubProjectJava\src\main\java\org\apache\beam\runners\dataflow\DataflowRunner.java line: 1028","DataflowRunner.java","972","0","RECOMMENDED_20","Duplicate Code","","",""
    "Duplicate code found in file: C:\Users\carenrizk\repos\soen6491Dataset\apacheSubProjectJava\src\main\java\org\apache\beam\runners\dataflow\DataflowRunner.java line: 1029","DataflowRunner.java","973","0","RECOMMENDED_20","Duplicate Code","","",""
    "Duplicate code found in file: C:\Users\carenrizk\repos\soen6491Dataset\apacheSubProjectJava\src\main\java\org\apache\beam\runners\dataflow\DataflowRunner.java line: 1030","DataflowRunner.java","974","0","RECOMMENDED_20","Duplicate Code","","",""
    "Duplicate code found in file: C:\Users\carenrizk\repos\soen6491Dataset\apacheSubProjectJava\src\main\java\org\apache\beam\runners\dataflow\DataflowRunner.java line: 1032","DataflowRunner.java","976","0","RECOMMENDED_20","Duplicate Code","","",""
    "Duplicate code found in file: C:\Users\carenrizk\repos\soen6491Dataset\apacheSubProjectJava\src\main\java\org\apache\beam\runners\dataflow\DataflowRunner.java line: 1034","DataflowRunner.java","978","0","RECOMMENDED_20","Duplicate Code","","",""
    "Duplicate code found in file: C:\Users\carenrizk\repos\soen6491Dataset\apacheSubProjectJava\src\main\java\org\apache\beam\runners\dataflow\DataflowRunner.java line: 1035","DataflowRunner.java","979","0","RECOMMENDED_20","Duplicate Code","","",""
    "Duplicate code found in file: C:\Users\carenrizk\repos\soen6491Dataset\apacheSubProjectJava\src\main\java\org\apache\beam\runners\dataflow\DataflowRunner.java line: 1036","DataflowRunner.java","980","0","RECOMMENDED_20","Duplicate Code","","",""
    "Duplicate code found in file: C:\Users\carenrizk\repos\soen6491Dataset\apacheSubProjectJava\src\main\java\org\apache\beam\runners\dataflow\DataflowRunner.java line: 1039","DataflowRunner.java","983","0","RECOMMENDED_20","Duplicate Code","","",""
    "Duplicate code found in file: C:\Users\carenrizk\repos\soen6491Dataset\apacheSubProjectJava\src\main\java\org\apache\beam\runners\dataflow\DataflowRunner.java line: 1040","DataflowRunner.java","984","0","RECOMMENDED_20","Duplicate Code","","",""
    "Duplicate code found in file: C:\Users\carenrizk\repos\soen6491Dataset\apacheSubProjectJava\src\main\java\org\apache\beam\runners\dataflow\DataflowRunner.java line: 1042","DataflowRunner.java","986","0","RECOMMENDED_20","Duplicate Code","","",""
    "Duplicate code found in file: C:\Users\carenrizk\repos\soen6491Dataset\apacheSubProjectJava\src\main\java\org\apache\beam\runners\dataflow\DataflowRunner.java line: 1043","DataflowRunner.java","987","0","RECOMMENDED_20","Duplicate Code","","",""
    "Duplicate code found in file: C:\Users\carenrizk\repos\soen6491Dataset\apacheSubProjectJava\src\main\java\org\apache\beam\runners\dataflow\DataflowRunner.java line: 1044","DataflowRunner.java","988","0","RECOMMENDED_20","Duplicate Code","","",""
    "Duplicate code found in file: C:\Users\carenrizk\repos\soen6491Dataset\apacheSubProjectJava\src\main\java\org\apache\beam\runners\dataflow\DataflowRunner.java line: 1045","DataflowRunner.java","989","0","RECOMMENDED_20","Duplicate Code","","",""
    "Duplicate code found in file: C:\Users\carenrizk\repos\soen6491Dataset\apacheSubProjectJava\src\main\java\org\apache\beam\runners\dataflow\DataflowRunner.java line: 1046","DataflowRunner.java","990","0","RECOMMENDED_20","Duplicate Code","","",""
    "Duplicate code found in file: C:\Users\carenrizk\repos\soen6491Dataset\apacheSubProjectJava\src\main\java\org\apache\beam\runners\dataflow\DataflowRunner.java line: 1050","DataflowRunner.java","994","0","RECOMMENDED_20","Duplicate Code","","",""
    "Duplicate code found in file: C:\Users\carenrizk\repos\soen6491Dataset\apacheSubProjectJava\src\main\java\org\apache\beam\runners\dataflow\DataflowRunner.java line: 1051","DataflowRunner.java","995","0","RECOMMENDED_20","Duplicate Code","","",""
    "Duplicate code found in file: C:\Users\carenrizk\repos\soen6491Dataset\apacheSubProjectJava\src\main\java\org\apache\beam\runners\dataflow\DataflowRunner.java line: 1052","DataflowRunner.java","996","0","RECOMMENDED_20","Duplicate Code","","",""
    "Duplicate code found in file: C:\Users\carenrizk\repos\soen6491Dataset\apacheSubProjectJava\src\main\java\org\apache\beam\runners\dataflow\DataflowRunner.java line: 1053","DataflowRunner.java","997","0","RECOMMENDED_20","Duplicate Code","","",""
    "Duplicate code found in file: C:\Users\carenrizk\repos\soen6491Dataset\apacheSubProjectJava\src\main\java\org\apache\beam\runners\dataflow\DataflowRunner.java line: 971","DataflowRunner.java","1027","0","RECOMMENDED_20","Duplicate Code","","",""
    "Duplicate code found in file: C:\Users\carenrizk\repos\soen6491Dataset\apacheSubProjectJava\src\main\java\org\apache\beam\runners\dataflow\DataflowRunner.java line: 972","DataflowRunner.java","1028","0","RECOMMENDED_20","Duplicate Code","","",""
    "Duplicate code found in file: C:\Users\carenrizk\repos\soen6491Dataset\apacheSubProjectJava\src\main\java\org\apache\beam\runners\dataflow\DataflowRunner.java line: 973","DataflowRunner.java","1029","0","RECOMMENDED_20","Duplicate Code","","",""
    "Duplicate code found in file: C:\Users\carenrizk\repos\soen6491Dataset\apacheSubProjectJava\src\main\java\org\apache\beam\runners\dataflow\DataflowRunner.java line: 974","DataflowRunner.java","1030","0","RECOMMENDED_20","Duplicate Code","","",""
    "Duplicate code found in file: C:\Users\carenrizk\repos\soen6491Dataset\apacheSubProjectJava\src\main\java\org\apache\beam\runners\dataflow\DataflowRunner.java line: 976","DataflowRunner.java","1032","0","RECOMMENDED_20","Duplicate Code","","",""
    "Duplicate code found in file: C:\Users\carenrizk\repos\soen6491Dataset\apacheSubProjectJava\src\main\java\org\apache\beam\runners\dataflow\DataflowRunner.java line: 978","DataflowRunner.java","1034","0","RECOMMENDED_20","Duplicate Code","","",""
    "Duplicate code found in file: C:\Users\carenrizk\repos\soen6491Dataset\apacheSubProjectJava\src\main\java\org\apache\beam\runners\dataflow\DataflowRunner.java line: 979","DataflowRunner.java","1035","0","RECOMMENDED_20","Duplicate Code","","",""
    "Duplicate code found in file: C:\Users\carenrizk\repos\soen6491Dataset\apacheSubProjectJava\src\main\java\org\apache\beam\runners\dataflow\DataflowRunner.java line: 980","DataflowRunner.java","1036","0","RECOMMENDED_20","Duplicate Code","","",""
    "Duplicate code found in file: C:\Users\carenrizk\repos\soen6491Dataset\apacheSubProjectJava\src\main\java\org\apache\beam\runners\dataflow\DataflowRunner.java line: 983","DataflowRunner.java","1039","0","RECOMMENDED_20","Duplicate Code","","",""
    "Duplicate code found in file: C:\Users\carenrizk\repos\soen6491Dataset\apacheSubProjectJava\src\main\java\org\apache\beam\runners\dataflow\DataflowRunner.java line: 984","DataflowRunner.java","1040","0","RECOMMENDED_20","Duplicate Code","","",""
    "Duplicate code found in file: C:\Users\carenrizk\repos\soen6491Dataset\apacheSubProjectJava\src\main\java\org\apache\beam\runners\dataflow\DataflowRunner.java line: 986","DataflowRunner.java","1042","0","RECOMMENDED_20","Duplicate Code","","",""
    "Duplicate code found in file: C:\Users\carenrizk\repos\soen6491Dataset\apacheSubProjectJava\src\main\java\org\apache\beam\runners\dataflow\DataflowRunner.java line: 987","DataflowRunner.java","1043","0","RECOMMENDED_20","Duplicate Code","","",""
    "Duplicate code found in file: C:\Users\carenrizk\repos\soen6491Dataset\apacheSubProjectJava\src\main\java\org\apache\beam\runners\dataflow\DataflowRunner.java line: 988","DataflowRunner.java","1044","0","RECOMMENDED_20","Duplicate Code","","",""
    "Duplicate code found in file: C:\Users\carenrizk\repos\soen6491Dataset\apacheSubProjectJava\src\main\java\org\apache\beam\runners\dataflow\DataflowRunner.java line: 989","DataflowRunner.java","1045","0","RECOMMENDED_20","Duplicate Code","","",""
    "Duplicate code found in file: C:\Users\carenrizk\repos\soen6491Dataset\apacheSubProjectJava\src\main\java\org\apache\beam\runners\dataflow\DataflowRunner.java line: 990","DataflowRunner.java","1046","0","RECOMMENDED_20","Duplicate Code","","",""
    "Duplicate code found in file: C:\Users\carenrizk\repos\soen6491Dataset\apacheSubProjectJava\src\main\java\org\apache\beam\runners\dataflow\DataflowRunner.java line: 994","DataflowRunner.java","1050","0","RECOMMENDED_20","Duplicate Code","","",""
    "Duplicate code found in file: C:\Users\carenrizk\repos\soen6491Dataset\apacheSubProjectJava\src\main\java\org\apache\beam\runners\dataflow\DataflowRunner.java line: 995","DataflowRunner.java","1051","0","RECOMMENDED_20","Duplicate Code","","",""
    "Duplicate code found in file: C:\Users\carenrizk\repos\soen6491Dataset\apacheSubProjectJava\src\main\java\org\apache\beam\runners\dataflow\DataflowRunner.java line: 996","DataflowRunner.java","1052","0","RECOMMENDED_20","Duplicate Code","","",""
    "Duplicate code found in file: C:\Users\carenrizk\repos\soen6491Dataset\apacheSubProjectJava\src\main\java\org\apache\beam\runners\dataflow\DataflowRunner.java line: 997","DataflowRunner.java","1053","0","RECOMMENDED_20","Duplicate Code","","",""
    "Violation: enterCompositeTransform defined but not called.","enterCompositeTransform","1100","31","RECOMMENDED_13","Unused Functions","","",""
    "Violation: visitPrimitiveTransform defined but not called.","visitPrimitiveTransform","1106","18","RECOMMENDED_13","Unused Functions","","",""
    "Max Length(200) Exceeded: {'CountLine': 409, 'CountLineCode': 327} lines.","run","1128","","RECOMMENDED_04","Functions Too Long","","",""
    "Program overly complex (Complexity:{'CyclomaticModified': 47})","run","1128","29","RECOMMENDED_10","Overly Complex Functions","","",""
    "Violation: run defined but not called.","run","1128","29","RECOMMENDED_13","Unused Functions","","",""
    "Duplicate code found in file: C:\Users\carenrizk\repos\soen6491Dataset\apacheSubProjectJava\src\main\java\org\apache\beam\runners\dataflow\DataflowRunner.java line: 1245","DataflowRunner.java","1206","0","RECOMMENDED_20","Duplicate Code","","",""
    "Future work needed: key phrase 'todo' found","DataflowRunner.java","1227","4","RECOMMENDED_19","Comments Indicating Future Fixes","","",""
    "Duplicate code found in file: C:\Users\carenrizk\repos\soen6491Dataset\apacheSubProjectJava\src\main\java\org\apache\beam\runners\dataflow\DataflowRunner.java line: 1206","DataflowRunner.java","1245","0","RECOMMENDED_20","Duplicate Code","","",""
    "Unused Parameter","options","1582","30","RECOMMENDED_18","Unused Local Variables","","",""
    "Violation: visitValue defined but not called.","visitValue","1647","18","RECOMMENDED_13","Unused Functions","","",""
    "Unused Parameter","producer","1647","48","RECOMMENDED_18","Unused Local Variables","","",""
    "Violation: getTranslator defined but not called.","getTranslator","1689","36","RECOMMENDED_13","Unused Functions","","",""
    "Violation: setHooks defined but not called.","setHooks","1694","14","RECOMMENDED_13","Unused Functions","","",""
    "Violation: enterCompositeTransform defined but not called.","enterCompositeTransform","1705","35","RECOMMENDED_13","Unused Functions","","",""
    "Violation: visitPrimitiveTransform defined but not called.","visitPrimitiveTransform","1742","22","RECOMMENDED_13","Unused Functions","","",""
    "Violation: visitValue defined but not called.","visitValue","1766","24","RECOMMENDED_13","Unused Functions","","",""
    "Unused Parameter","value","1766","42","RECOMMENDED_18","Unused Local Variables","","",""
    "Unused Parameter","producer","1766","73","RECOMMENDED_18","Unused Local Variables","","",""
    "Violation: visitPrimitiveTransform defined but not called.","visitPrimitiveTransform","1769","24","RECOMMENDED_13","Unused Functions","","",""
    "Violation: enterCompositeTransform defined but not called.","enterCompositeTransform","1776","37","RECOMMENDED_13","Unused Functions","","",""
    "Unused Parameter","e","1784","51","RECOMMENDED_18","Unused Local Variables","","",""
    "Violation: leaveCompositeTransform defined but not called.","leaveCompositeTransform","1795","24","RECOMMENDED_13","Unused Functions","","",""
    "Unused Parameter","node","1795","72","RECOMMENDED_18","Unused Local Variables","","",""
    "Violation: doesPCollectionRequireIndexedFormat defined but not called.","doesPCollectionRequireIndexedFormat","1811","10","RECOMMENDED_13","Unused Functions","","",""
    "Violation: addPCollectionRequiringIndexedFormat defined but not called.","addPCollectionRequiringIndexedFormat","1819","7","RECOMMENDED_13","Unused Functions","","",""
    "Violation: maybeRecordPCollectionPreservedKeys defined but not called.","maybeRecordPCollectionPreservedKeys","1823","7","RECOMMENDED_13","Unused Functions","","",""
    "Violation: maybeRecordPCollectionWithAutoSharding defined but not called.","maybeRecordPCollectionWithAutoSharding","1827","7","RECOMMENDED_13","Unused Functions","","",""
    "Violation: doesPCollectionPreserveKeys defined but not called.","doesPCollectionPreserveKeys","1838","10","RECOMMENDED_13","Unused Functions","","",""
    "Violation: doesPCollectionRequireAutoSharding defined but not called.","doesPCollectionRequireAutoSharding","1842","10","RECOMMENDED_13","Unused Functions","","",""
    "Violation: recordViewUsesNonDeterministicKeyCoder defined but not called.","recordViewUsesNonDeterministicKeyCoder","1850","7","RECOMMENDED_13","Unused Functions","","",""
    "Violation: getReplacementTransform defined but not called.","getReplacementTransform","1863","69","RECOMMENDED_13","Unused Functions","","",""
    "Violation: mapOutputs defined but not called.","mapOutputs","1870","50","RECOMMENDED_13","Unused Functions","","",""
    "Duplicate code found in file: C:\Users\carenrizk\repos\soen6491Dataset\apacheSubProjectJava\src\main\java\org\apache\beam\runners\dataflow\DataflowRunner.java line: 2279","DataflowRunner.java","1872","0","RECOMMENDED_20","Duplicate Code","","",""
