Kind,Name,AvgCyclomatic,MaxCyclomatic,AvgCountLineCode,CountLineCode,RatioCommentToCode,CountLineComment,CountDeclClass,CountDeclClassMethod,CountLineCodeExe,MaxNesting
File,"Accumulator.java",0,0,0,4,1.75,7,1,0,0,0
File,"ApproximateQuantiles.java",2,5,8,410,0.00,2,6,8,193,2
File,"ApproximateQuantilesTest.java",1,3,8,299,0.00,1,6,1,141,2
File,"ApproximateUnique.java",1,5,6,227,0.04,10,5,9,99,2
File,"ApproximateUniqueTest.java",1,2,10,144,0.00,0,4,3,60,1
File,"Audience.java",0,0,0,18,0.72,13,2,0,0,0
Unknown Annotation,"AutoValue.Builder",,,,,0.00,,,,,
File,"BigtableIO.java",2,14,9,1466,0.00,3,13,13,779,4
File,"BigtableIOTest.java",1,4,10,1355,0.01,13,16,8,789,2
File,"Coder.java",1,3,5,141,0.05,7,4,2,50,2
File,"CoderTest.java",1,1,8,67,0.00,0,1,0,24,0
File,"Combine.java",1,5,5,626,0.00,0,21,19,200,4
File,"CombineGloballyAsSingletonViewOverrideFactory.java",1,1,9,29,0.00,0,1,0,9,0
File,"CombineGroupedValues.java",2,3,6,31,0.32,10,1,0,9,1
File,"CombineTest.java",1,3,9,1075,0.00,2,27,3,561,2
File,"Context.java",0,0,0,4,0.25,1,1,0,0,0
File,"Counter.java",0,0,0,7,1.86,13,1,0,0,0
File,"DataflowRunner.java",3,47,21,1363,0.00,4,6,19,948,4
File,"DataflowRunnerTest.java",1,5,13,1520,0.01,22,21,5,976,3
File,"Deduplicate.java",1,1,7,37,0.08,3,2,0,13,0
Unknown Annotation,"Default.String",,,,,0.00,,,,,
Unknown Annotation,"Deprecated",,,,,0.00,,,,,
File,"DirectRunner.java",2,7,10,294,0.00,0,6,4,155,4
File,"DirectRunnerTest.java",1,3,9,694,0.00,0,25,2,388,2
Unknown Annotation,"Element",,,,,0.00,,,,,
File,"Environment.java",0,0,0,11,2.00,22,1,0,0,0
File,"ErrorHandlingTestUtils.java",1,2,6,40,0.07,3,3,0,10,1
File,"ExpectedLogs.java",1,3,5,165,0.03,5,5,7,67,2
File,"FakeServiceFactory.java",1,1,6,85,0.07,6,1,0,33,0
File,"FileIO.java",1,9,8,947,0.01,10,27,14,436,2
File,"FileIOTest.java",1,3,14,363,0.04,16,2,4,225,1
File,"FileSystems.java",2,9,12,379,0.00,1,2,25,201,2
File,"FileSystemsTest.java",1,2,10,209,0.05,11,1,0,118,1
Unknown Annotation,"FinishBundle",,,,,0.00,,,,,
File,"Flatten.java",2,4,8,82,0.07,6,4,2,43,2
File,"FlattenTest.java",1,2,11,266,0.02,4,8,0,131,1
File,"Histogram.java",0,0,0,7,2.00,14,1,0,0,0
File,"IdentityMessageFn.java",1,1,4,9,0.00,0,1,0,1,0
File,"ImpulseTranslator.java",2,3,9,49,0.24,12,2,0,24,2
File,"MultiOutputExpandableTransformTranslator.java",3,3,10,27,0.52,14,1,0,10,1
