Kind,Name,AvgCyclomatic,MaxCyclomatic,AvgCountLineCode,CountLineCode,RatioCommentToCode,CountLineComment,CountDeclClass,CountDeclMethod,CountLineCodeExe,MaxNesting
Unknown Class,"ABCMeta",,,,,0.00,,,,,
Unknown Class,"AvroGenericCoder",,,,,0.00,,,,,
Unknown Class,"Coder",,,,,0.00,,,,,
Unknown Class,"CombineFn",,,,,0.00,,,,,
Unknown Class,"CombineFn",,,,,0.00,,,,,
Unknown Class,"CombineFn",,,,,0.00,,,,,
Unknown Class,"CombineFn",,,,,0.00,,,,,
Unknown Class,"CountCombineFn",,,,,0.00,,,,,
Unknown Class,"DoFn",,,,,0.00,,,,,
Unknown Class,"DoFn",,,,,0.00,,,,,
Unknown Class,"DoFn",,,,,0.00,,,,,
Unknown Class,"DoFn",,,,,0.00,,,,,
Unknown Class,"DoFn",,,,,0.00,,,,,
Unknown Class,"DoFn",,,,,0.00,,,,,
Unknown Class,"DoFn",,,,,0.00,,,,,
Unknown Class,"DoFn",,,,,0.00,,,,,
Unknown Class,"ExtraAssertionsMixin",,,,,0.00,,,,,
Unknown Class,"FixedWindows",,,,,0.00,,,,,
Unknown Class,"Generic",,,,,0.00,,,,,
Unknown Class,"Message",,,,,0.00,,,,,
Unknown Class,"NonMergingWindowFn",,,,,0.00,,,,,
Unknown Class,"PTransform",,,,,0.00,,,,,
Unknown Class,"PTransform",,,,,0.00,,,,,
Unknown Class,"PTransform",,,,,0.00,,,,,
Unknown Class,"PTransform",,,,,0.00,,,,,
Unknown Class,"PTransform",,,,,0.00,,,,,
Unknown Class,"PTransform",,,,,0.00,,,,,
Unknown Class,"PTransform",,,,,0.00,,,,,
Unknown Class,"ParDo",,,,,0.00,,,,,
Unknown Class,"PipelineOptions",,,,,0.00,,,,,
Unknown Class,"PipelineRunner",,,,,0.00,,,,,
Unknown Class,"PipelineRunner",,,,,0.00,,,,,
Unknown Class,"PipelineVisitor",,,,,0.00,,,,,
Unknown Class,"RunnerApiFn",,,,,0.00,,,,,
Unknown Class,"SourceBase",,,,,0.00,,,,,
Unknown Class,"TestCase",,,,,0.00,,,,,
Unknown Class,"TestCase",,,,,0.00,,,,,
Unknown Class,"TestCase",,,,,0.00,,,,,
Unknown Class,"TestCase",,,,,0.00,,,,,
Unknown Class,"TestCase",,,,,0.00,,,,,
Unknown Class,"TestCase",,,,,0.00,,,,,
Unknown Class,"TestCase",,,,,0.00,,,,,
Unknown Class,"TestCase",,,,,0.00,,,,,
Unknown Class,"TestCase",,,,,0.00,,,,,
Unknown Class,"TestCase",,,,,0.00,,,,,
Unknown Class,"TestCase",,,,,0.00,,,,,
Unknown Class,"TestCase",,,,,0.00,,,,,
Unknown Class,"TestCase",,,,,0.00,,,,,
Unknown Class,"TestCase",,,,,0.00,,,,,
Unknown Class,"TextSink",,,,,0.00,,,,,
Unknown Class,"TopCombineFn",,,,,0.00,,,,,
Unknown Class,"_TestCaseWithTempDirCleanUp",,,,,0.00,,,,,
Unknown Class,"_TransformEvaluator",,,,,0.00,,,,,
Class,"approximatequantiles.ApproximateQuantiles",2,5,5,205,0.00,0,,5,154,2
Class,"approximatequantiles.ApproximateQuantiles.ApproximateQuantilesCombineFn",1,2,3,39,0.00,0,,10,25,1
Function,"approximatequantiles.ApproximateQuantiles.ApproximateQuantilesCombineFn.__init__",,,,9,0.00,0,,,8,0
Function,"approximatequantiles.ApproximateQuantiles.ApproximateQuantilesCombineFn.create",,,,2,0.00,0,,,1,0
Function,"approximatequantiles.ApproximateQuantiles.ApproximateQuantilesCombineFn.create",,,,7,0.00,0,,,6,1
Function,"approximatequantiles.ApproximateQuantiles.ApproximateQuantilesCombineFn.createAccumulator",,,,2,0.00,0,,,1,0
Function,"approximatequantiles.ApproximateQuantiles.ApproximateQuantilesCombineFn.createComparable",,,,2,0.00,0,,,1,0
Function,"approximatequantiles.ApproximateQuantiles.ApproximateQuantilesCombineFn.getAccumulatorCoder",,,,2,0.00,0,,,1,0
Function,"approximatequantiles.ApproximateQuantiles.ApproximateQuantilesCombineFn.getBufferSize",,,,2,0.00,0,,,1,0
Function,"approximatequantiles.ApproximateQuantiles.ApproximateQuantilesCombineFn.getNumBuffers",,,,2,0.00,0,,,1,0
Function,"approximatequantiles.ApproximateQuantiles.ApproximateQuantilesCombineFn.populateDisplayData",,,,4,0.00,0,,,3,0
Function,"approximatequantiles.ApproximateQuantiles.ApproximateQuantilesCombineFn.withEpsilon",,,,2,0.00,0,,,1,0
Class,"approximatequantiles.ApproximateQuantiles.QuantileBuffer",1,1,3,9,0.00,0,,3,5,0
Function,"approximatequantiles.ApproximateQuantiles.QuantileBuffer.__init__",,,,4,0.00,0,,,3,0
Function,"approximatequantiles.ApproximateQuantiles.QuantileBuffer.__str__",,,,2,0.00,0,,,1,0
Function,"approximatequantiles.ApproximateQuantiles.QuantileBuffer.sizedIterator",,,,2,0.00,0,,,1,0
Class,"approximatequantiles.ApproximateQuantiles.QuantileState",3,5,8,91,0.00,0,,11,78,2
Function,"approximatequantiles.ApproximateQuantiles.QuantileState.__init__",,,,9,0.00,0,,,8,0
Function,"approximatequantiles.ApproximateQuantiles.QuantileState.addInput",,,,8,0.00,0,,,7,1
Function,"approximatequantiles.ApproximateQuantiles.QuantileState.addUnbuffered",,,,7,0.00,0,,,6,1
Function,"approximatequantiles.ApproximateQuantiles.QuantileState.collapse",,,,8,0.00,0,,,7,1
Function,"approximatequantiles.ApproximateQuantiles.QuantileState.collapseIfNeeded",,,,7,0.00,0,,,6,2
Function,"approximatequantiles.ApproximateQuantiles.QuantileState.empty",,,,2,0.00,0,,,1,0
Function,"approximatequantiles.ApproximateQuantiles.QuantileState.extractOutput",,,,16,0.00,0,,,15,1
Function,"approximatequantiles.ApproximateQuantiles.QuantileState.interpolate",,,,13,0.00,0,,,12,2
Function,"approximatequantiles.ApproximateQuantiles.QuantileState.isEmpty",,,,2,0.00,0,,,1,0
Function,"approximatequantiles.ApproximateQuantiles.QuantileState.mergeAccumulator",,,,11,0.00,0,,,10,1
Function,"approximatequantiles.ApproximateQuantiles.QuantileState.offset",,,,6,0.00,0,,,5,1
Class,"approximatequantiles.ApproximateQuantiles.QuantileStateCoder",1,3,6,51,0.00,0,,9,41,1
Function,"approximatequantiles.ApproximateQuantiles.QuantileStateCoder.__init__",,,,5,0.00,0,,,4,0
Function,"approximatequantiles.ApproximateQuantiles.QuantileStateCoder.decode",,,,9,0.00,0,,,8,0
Function,"approximatequantiles.ApproximateQuantiles.QuantileStateCoder.decodeBuffer",,,,3,0.00,0,,,2,0
Function,"approximatequantiles.ApproximateQuantiles.QuantileStateCoder.encode",,,,9,0.00,0,,,8,1
Function,"approximatequantiles.ApproximateQuantiles.QuantileStateCoder.encodeBuffer",,,,5,0.00,0,,,4,0
Function,"approximatequantiles.ApproximateQuantiles.QuantileStateCoder.equals",,,,6,0.00,0,,,5,1
Function,"approximatequantiles.ApproximateQuantiles.QuantileStateCoder.hashCode",,,,2,0.00,0,,,1,0
Function,"approximatequantiles.ApproximateQuantiles.QuantileStateCoder.registerByteSizeObserver",,,,8,0.00,0,,,7,1
Function,"approximatequantiles.ApproximateQuantiles.QuantileStateCoder.verifyDeterministic",,,,3,0.00,0,,,2,0
Function,"approximatequantiles.ApproximateQuantiles.__init__",,,,2,0.00,0,,,1,0
Function,"approximatequantiles.ApproximateQuantiles.globally",,,,2,0.00,0,,,1,0
Function,"approximatequantiles.ApproximateQuantiles.globallyComparable",,,,2,0.00,0,,,1,0
Function,"approximatequantiles.ApproximateQuantiles.perKey",,,,2,0.00,0,,,1,0
Function,"approximatequantiles.ApproximateQuantiles.perKeyComparable",,,,2,0.00,0,,,1,0
Module File,"approximatequantiles.py",2,5,5,211,0.00,0,5,,158,2
Module File,"approximatequantiles_test.py",2,2,0,3,0.00,0,0,,2,1
Class,"approximateunique.ApproximateUnique",1,5,4,118,0.19,22,,6,81,2
Class,"approximateunique.ApproximateUnique.ApproximateUniqueCombineFn",2,5,5,55,0.22,12,,7,41,2
Class,"approximateunique.ApproximateUnique.ApproximateUniqueCombineFn.LargestUnique",2,5,7,29,0.10,3,,4,24,2
Function,"approximateunique.ApproximateUnique.ApproximateUniqueCombineFn.LargestUnique.__init__",,,,4,0.50,2,,,3,0
Function,"approximateunique.ApproximateUnique.ApproximateUniqueCombineFn.LargestUnique.add",,,,10,0.00,0,,,9,2
Function,"approximateunique.ApproximateUnique.ApproximateUniqueCombineFn.LargestUnique.calculateSampleSpaceSize",,,,2,0.50,1,,,1,0
